title,soldprice,solddate,bids,link
Pokemon Charizard 5/18 Holo Rare Detective Pikachu Card NM,8.5,"Sold  Jan 17, 2021Sold Item",10 bids,https://www.ebay.com/itm/Pokemon-Charizard-5-18-Holo-Rare-Detective-Pikachu-Card-NM/224314353118?hash=item343a2d65de%3Ag%3AM3UAAOSwszBf%7EhNP&LH_Auction=1
Pokemon Champions Path Charizard V Full Art  Promo SWSH050 ☆2 card lot!!☆,21.0,"Sold  Jan 17, 2021Sold Item",3 bids,https://www.ebay.com/itm/Pokemon-Champions-Path-Charizard-V-Full-Art-Promo-SWSH050-2-card-lot/393091182148?hash=item5b860f6e44%3Ag%3APnsAAOSwzM5f-3A8&LH_Auction=1
Rare Pokemon 1999 Base Set HOLO Charizard Blastoise Venusaur Card WOTC Played,167.05,"Sold  Jan 17, 2021Sold Item",16 bids,https://www.ebay.com/itm/Rare-Pokemon-1999-Base-Set-HOLO-Charizard-Blastoise-Venusaur-Card-WOTC-Played/174591040843?hash=item28a66fdd4b%3Ag%3A86cAAOSwJxtf-23b&LH_Auction=1
Pokemon Cards Base Set Complete -102 Light Play - Played WOTC Lot Charizard Holo,434.59,"Sold  Jan 17, 2021Sold Item",20 bids,https://www.ebay.com/itm/Pokemon-Cards-Base-Set-Complete-102-Light-Play-Played-WOTC-Lot-Charizard-Holo/174591034363?hash=item28a66fc3fb%3Ag%3ANvwAAOSwuMxf-2yq&LH_Auction=1
Charizard Rainbow VMAX PSA 10 Champion’s Path 074/073 Secret Rare Pokemon Card,675.0,"Sold  Jan 17, 2021Sold Item",56 bids,https://www.ebay.com/itm/Charizard-Rainbow-VMAX-PSA-10-Champion-s-Path-074-073-Secret-Rare-Pokemon-Card/203249599754?hash=item2f529ec50a%3Ag%3AZw8AAOSwE35gAqTQ&LH_Auction=1
PSA 8 Pokemon Charizard XY Evolutions  11/108 Holo Card 2016 Base Set Holo Bleed,227.5,"Sold  Jan 17, 2021Sold Item",51 bids,https://www.ebay.com/itm/PSA-8-Pokemon-Charizard-XY-Evolutions-11-108-Holo-Card-2016-Base-Set-Holo-Bleed/174591019638?hash=item28a66f8a76%3Ag%3A1lEAAOSwsKdf-2pz&LH_Auction=1
POKEMON CARD CHARIZARD GX SM195 HOLO PROMO 2019 USED,13.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/POKEMON-CARD-CHARIZARD-GX-SM195-HOLO-PROMO-2019-USED/193844480715?hash=item2d22080acb%3Ag%3A2UsAAOSwWUJf1Uug&LH_Auction=1
ERROR Charizard V SWSH050 Champions Path Pokemon Card Crimp Misprint,45.0,"Sold  Jan 17, 2021Sold Item",1 bid,https://www.ebay.com/itm/ERROR-Charizard-V-SWSH050-Champions-Path-Pokemon-Card-Crimp-Misprint/284149343739?hash=item42289ee5fb%3Ag%3AZxUAAOSwxGlgAlXE&LH_Auction=1
Charizard VMAX 020/189 Holo Ultra-Rare Darkness Ablaze Pokemon Card - PACK FRESH,91.0,"Sold  Jan 17, 2021Sold Item",14 bids,https://www.ebay.com/itm/Charizard-VMAX-020-189-Holo-Ultra-Rare-Darkness-Ablaze-Pokemon-Card-PACK-FRESH/373424401115?hash=item56f1d42adb%3Ag%3AcHEAAOSwY8Bf-2cH&LH_Auction=1
CGC 9.5 Pokemon Champions Path Secret Rare Shiny Charizard V Card 079/073,385.0,"Sold  Jan 17, 2021Sold Item",45 bids,https://www.ebay.com/itm/CGC-9-5-Pokemon-Champions-Path-Secret-Rare-Shiny-Charizard-V-Card-079-073/353349159131?hash=item52454048db%3Ag%3Avx8AAOSwWrFf-2VB&LH_Auction=1
Pokemon cards charizard 2016,77.0,"Sold  Jan 17, 2021Sold Item",23 bids,https://www.ebay.com/itm/Pokemon-cards-charizard-2016/143914656324?hash=item2181fb6244%3Ag%3AgawAAOSwLYVf-10v&LH_Auction=1
Shining Charizard 107/105 Secret Rare Holo Pokemon Neo Destiny Trading Card ,516.08,"Sold  Jan 17, 2021Sold Item",29 bids,https://www.ebay.com/itm/Shining-Charizard-107-105-Secret-Rare-Holo-Pokemon-Neo-Destiny-Trading-Card/133628880427?hash=item1f1ce6e62b%3Ag%3AOKQAAOSwHF1f9OT%7E&LH_Auction=1
Pokemon Card Charizard Base Set 2 Holo Foil 4/130 NM-Mint,169.5,"Sold  Jan 17, 2021Sold Item",25 bids,https://www.ebay.com/itm/Pokemon-Card-Charizard-Base-Set-2-Holo-Foil-4-130-NM-Mint/174593581565?hash=item28a696a1fd%3Ag%3ACtoAAOSweHpf%7Efpi&LH_Auction=1
GEM MINT Charizard Holo Rare CGC 9.5 11/108 XY Evolutions Pokemon Card (PSA 10!),750.0,"Sold  Jan 17, 2021Sold Item",43 bids,https://www.ebay.com/itm/GEM-MINT-Charizard-Holo-Rare-CGC-9-5-11-108-XY-Evolutions-Pokemon-Card-PSA-10/154281645039?hash=item23ebe713ef%3Ag%3ASuwAAOSwWKBf92FP&LH_Auction=1
Job Lot of Pokemon Cards 100 pieces with ULTRA PRO Charizard Deck Case - Good Co,2.99,"Sold  Jan 17, 2021Sold Item",4 bids,https://www.ebay.com/itm/Job-Lot-of-Pokemon-Cards-100-pieces-with-ULTRA-PRO-Charizard-Deck-Case-Good-Co/274643398631?hash=item3ff205afe7%3Ag%3ASAUAAOSwX%7EBfYe6B&LH_Auction=1
Pokemon Cards - Charizard & Braixen GX Holo TAG TEAM 22/236,8.5,"Sold  Jan 17, 2021Sold Item",9 bids,https://www.ebay.com/itm/Pokemon-Cards-Charizard-Braixen-GX-Holo-TAG-TEAM-22-236/274643397186?hash=item3ff205aa42%3Ag%3ALvgAAOSwkVZf-1DW&LH_Auction=1
Pokemon Card XY Evolutions -   CHARIZARD EX HOLO   12/108 PSA 10 - GEM MINT,163.5,"Sold  Jan 17, 2021Sold Item",10 bids,https://www.ebay.com/itm/Pokemon-Card-XY-Evolutions-CHARIZARD-EX-HOLO-12-108-PSA-10-GEM-MINT/383903099859?hash=item5962686bd3%3Ag%3ALWYAAOSwu3dgAJOi&LH_Auction=1
Base Set Charizard 4/102 Holo Pokemon Card Wotc 1999 Near Mint Condition,359.9,"Sold  Jan 17, 2021Sold Item",19 bids,https://www.ebay.com/itm/Base-Set-Charizard-4-102-Holo-Pokemon-Card-Wotc-1999-Near-Mint-Condition/324448047516?hash=item4b8a9c519c%3Ag%3A6goAAOSwnI5f-rjC&LH_Auction=1
Charizard 4/102 Holo Rare Pokemon Card Unlimited Base Set MINT / NM PSA? WOTC,855.6,"Sold  Jan 17, 2021Sold Item",52 bids,https://www.ebay.com/itm/Charizard-4-102-Holo-Rare-Pokemon-Card-Unlimited-Base-Set-MINT-NM-PSA-WOTC/254833120073?hash=item3b553cd349%3Ag%3As8YAAOSwR-Rf%7EfCK&LH_Auction=1
Charizard - SM226 - Promo Sun & Moon Pokemon Card HOLO ,57.0,"Sold  Jan 17, 2021Sold Item",14 bids,https://www.ebay.com/itm/Charizard-SM226-Promo-Sun-Moon-Pokemon-Card-HOLO/393090982174?hash=item5b860c611e%3Ag%3A070AAOSwBvJf-0gf&LH_Auction=1
Full Art JUMBO Pokemon CHARIZARD GX Card PROMO Set SM60 Good Condition,17.0,"Sold  Jan 17, 2021Sold Item",11 bids,https://www.ebay.com/itm/Full-Art-JUMBO-Pokemon-CHARIZARD-GX-Card-PROMO-Set-SM60-Good-Condition/184615657281?hash=item2afbf35f41%3Ag%3AgmQAAOSwCGhf-0aN&LH_Auction=1
Mega M Charizard EX 12/83 XY Generations Ultra RARE Holo Pokemon Card 2015 NM,51.0,"Sold  Jan 17, 2021Sold Item",30 bids,https://www.ebay.com/itm/Mega-M-Charizard-EX-12-83-XY-Generations-Ultra-RARE-Holo-Pokemon-Card-2015-NM/143914528986?hash=item2181f970da%3Ag%3Ab7AAAOSw7Q1f-0KS&LH_Auction=1
Pokemon X Y Flashfire Single Card Rare Holo ex Mega Charizard-EX ,51.0,"Sold  Jan 17, 2021Sold Item",2 bids,https://www.ebay.com/itm/Pokemon-X-Y-Flashfire-Single-Card-Rare-Holo-ex-Mega-Charizard-EX/363256235535?hash=item5493c2460f%3Ag%3AtXcAAOSwurxf-JBx&LH_Auction=1
Charizard Holo Rare 1/99 Pokémon Platinum Arceus Pokemon Card NM/LP,7.5,"Sold  Jan 17, 2021Sold Item",2 bids,https://www.ebay.com/itm/Charizard-Holo-Rare-1-99-Pokemon-Platinum-Arceus-Pokemon-Card-NM-LP/193844271688?hash=item2d2204da48%3Ag%3ANS4AAOSwaFRf8gdD&LH_Auction=1
